Bokmål,Nynorsk,Engelsk,Merknad
abelsk gruppe,abelsk gruppe,abelian group,
abelsk kategori,abelsk kategori,abelian category,
abelsk varietet,abelsk varietet,abelian variety,
abelsk,abelsk,abelian,
abscisse,abscisse,abscissa,
absolutt integrerbar,absolutt integrerbar,absolutely integrable,
absolutt konvergens,absolutt konvergens,absolute convergence,
absoluttverdi/tallverdi,absoluttverdi/talverdi,absolute value,
additiv kategori,additiv kategori,additive category,
additivt identitetselement,additivt identitetselement,additive identity element,
adjungert matrise,adjungert matrise,adjoint matrix,
adjungert par,adjungert par,adjoint pair,
adjungert,adjungert,adjoint,
adjunksjonsrom/pålimingsrom,adjunksjonsrom/pålimingsrom,attaching space,
affin algebraisk varietet,affin algebraisk varietet,affine algebraic variety,
affin varietet,affin varietet,affine variety,
affin,affin,affine,
akse,akse,axis,
aksiom,aksiom,axiom,
algebra,algebra,algebra,
algebraisk gruppe,algebraisk gruppe,algebraic group,
algebraisk lukket,algebraisk lukka,algebraically closed,
algebraisk multiplisitet,algebraisk multiplisitet,algebraic multiplicity,
algebraisk struktur,algebraisk struktur,algebraic structure,
algebraisk tallkropp,algebraisk talkropp,algebraic number field,
algebraisk utvidelse,algebraisk utviding,algebraic extension,
algebraisk,algebraisk,algebraic,"Ordklasse: adjektiv"
algebraisk,algebraisk,algebraically,"Ordklasse: adverb"
algoritme,algoritme,algorithm,
allkvantor,allkvantor,universal quantifier,
alternativ hypotese,alternativ hypotese,alternative hypothesis,
alternerende,alternerande,alternating,
amplitude,amplitude,amplitude,
analyse,analyse,analysis,
analytisk funksjon,analytisk funksjon,analytic function,
analytisk,analytisk,analytic,
andel,del,proportion,
andrederivert,andrederivert,second derivative,
andregradslikning,andregradslikning,quadratic equation,
annihilator,annihilator,annihilator,
annihilere,annihilere,annihilate,
ANOVA,ANOVA,ANOVA,"ANOVA er en forkortelse for variansanalyse, og stammer fra <i>analysis of variance</i>."
antipode,antipode,antipode,
approksimasjon/tilnærming,approksimasjon/tilnærming,approximation,
areal,areal,area,
argument,argument,argument,
aritmetikk,aritmetikk,arithmetic,"Ordklasse: substantiv"
aritmetisk,aritmetisk,arithmetic,"Ordklasse: adjektiv"
